trainer_id,total_rides,horse_age,runners,1st,2nd,3rd,4th,a/e,win_%,1_pl
trn_54981,0,14,6,0,2,0,0,0.0,0.0,-6.0
trn_54981,0,15,1,0,0,0,0,0.0,0.0,-1.0
trn_54981,0,2,1,0,0,0,0,0.0,0.0,-1.0
trn_54981,0,16,1,0,0,1,0,0.0,0.0,-1.0
trn_330147,0,4,117,7,10,10,14,0.56,0.06,-54.52
trn_330147,0,3,113,8,5,16,11,0.72,0.07,21.46
trn_330147,0,5,86,10,12,10,12,0.84,0.12,-17.52
trn_330147,0,6,64,12,7,3,7,1.19,0.19,4.8
trn_330147,0,2,49,3,5,2,5,0.8,0.06,-0.42
trn_330147,0,7,35,8,3,7,2,1.56,0.23,11.75
trn_330147,0,8,35,4,0,1,5,1.6,0.11,15.5
trn_330147,0,9,14,1,1,3,0,1.02,0.07,1.0
trn_138861,0,4,1253,102,126,131,142,0.74,0.08,-326.35
