sire_id,sire
sir_6071373,Shooting To Win
sir_3028928,Royal Anthem
sir_4083499,Muhaymin
sir_11134207,Tonkin
sir_505316,Apple Tree
sir_7799575,Arrogate
sir_11245640,Catholic Boy
sir_5012609,Gone Astray
sir_4731167,Dream Eater
sir_677803,Definite Article
sir_3970715,Whitmore's Conn
sir_6029058,Jungle Cat
sir_4234062,Early March
sir_3544135,Indian River
sir_6300854,Jimmy Two Times
sir_4031286,Touch Of Land
sir_8608082,Shakeel
sir_699923,Pasternak
sir_3565226,Redoute's Choice
sir_5052313,Alianthus
sir_3417666,Tiger Hill
sir_3154718,Supreme Sound
sir_4756437,Henrythenavigator
sir_4440002,Magadino
sir_4880757,Monitor Closely
sir_397411,Witness Box
sir_34859958,Wounderwall
sir_447930,Michel Georges
sir_4658528,Spring At Last
sir_5771969,Mshawish
sir_3512425,Slickly
sir_627592,Tikkanen
sir_4220216,Windsor Knot
sir_3310986,Gold Away
sir_4608254,Fine Grain
sir_727853,Atraf
sir_617176,Germany
sir_3140382,Waky Nao
sir_5443767,The Factor
sir_6158250,Mr Owen
